"team","ncaa_id","season","jersey","name","position","height_clean","year","hometown","homestate","high_school","previous_school","url","team_state","conference","division","height_ft","height_in","total_inches","primary_position","secondary_position","position_clean","year_clean","redshirt","hs_clean","hometown_clean","state_clean","country_clean","previous_school_clean"
"Abilene Christian",2,"2025-26","0","Molly Daugherty","G","5'10""","Fr.","Summerville","SC.","Summerville HS",,"https://acusports.com/sports/womens-basketball/roster/molly-daugherty/10954","TX","WAC","I",5,10,70,"GUARD",,"GUARD","Freshman",0,"Summerville HS","SUMMERVILLE, SC","SC","USA",
"Abilene Christian",2,"2025-26","1","Emma Daugherty","F","6'1""","Fr.","Summerville","SC.","Summerville HS",,"https://acusports.com/sports/womens-basketball/roster/emma-daugherty/10955","TX","WAC","I",6,1,73,"FORWARD",,"FORWARD","Freshman",0,"Summerville HS","SUMMERVILLE, SC","SC","USA",
"Abilene Christian",2,"2025-26","10","Payton Hull","G","5'10""","Jr.","Peaster","Texas","Peaster HS",,"https://acusports.com/sports/womens-basketball/roster/payton-hull/10942","TX","WAC","I",5,10,70,"GUARD",,"GUARD","Junior",0,"Peaster HS","PEASTER, TEXAS","TX","USA",
"Abilene Christian",2,"2025-26","11","Bree Riley","G","5'5""","Fr.","Spring","Texas","Grand Oaks HS",,"https://acusports.com/sports/womens-basketball/roster/bree-riley/10956","TX","WAC","I",5,5,65,"GUARD",,"GUARD","Freshman",0,"Grand Oaks HS","SPRING, TEXAS","TX","USA",
"Abilene Christian",2,"2025-26","14","Meredith Mayes","C","6'3""","Jr.","Bixby","Okla","Bixby HS",,"https://acusports.com/sports/womens-basketball/roster/meredith-mayes/10943","TX","WAC","I",6,3,75,"CENTER",,"CENTER","Junior",0,"Bixby HS","BIXBY, OKLA","OK","USA",
"Abilene Christian",2,"2025-26","15","Jazmyn Stone","G","5'6""","R-Jr.","Federal Way","Wash","Annie Wright Upper School for Girls","College of Charleston","https://acusports.com/sports/womens-basketball/roster/jazmyn-stone/10958","TX","WAC","I",5,6,66,"GUARD",,"GUARD","Junior",1,"Annie Wright Upper School for Girls","FEDERAL WAY, WASH","WA","USA","College of Charleston"
"Abilene Christian",2,"2025-26","2","Natalia Chavez","G","5'11""","Sr.","Cochiti Pueblo","NM.","Volcano Vista HS","New Mexico","https://acusports.com/sports/womens-basketball/roster/natalia-chavez/10939","TX","WAC","I",5,11,71,"GUARD",,"GUARD","Senior",0,"Volcano Vista HS","COCHITI PUEBLO, NM","NM","USA","New Mexico"
"Abilene Christian",2,"2025-26","21","Riley Grohman","G","5'10""","Fr.","Tuscola","Texas","Jim Ned HS",,"https://acusports.com/sports/womens-basketball/roster/riley-grohman/10957","TX","WAC","I",5,10,70,"GUARD",,"GUARD","Freshman",0,"Jim Ned HS","TUSCOLA, TEXAS","TX","USA",
"Abilene Christian",2,"2025-26","23","Jordyn Coleman","C","6'2""","Jr.","Zionsville","Ind","Zionsville Community HS","Triton College","https://acusports.com/sports/womens-basketball/roster/jordyn-coleman/10959","TX","WAC","I",6,2,74,"CENTER",,"CENTER","Junior",0,"Zionsville Community HS","ZIONSVILLE, IND","IN","USA","Triton College"
"Abilene Christian",2,"2025-26","24","Emma Troxell","F","6'0""","Jr.","Bushland","Texas","Bushland HS",,"https://acusports.com/sports/womens-basketball/roster/emma-troxell/10944","TX","WAC","I",6,0,72,"FORWARD",,"FORWARD","Junior",0,"Bushland HS","BUSHLAND, TEXAS","TX","USA",
"Abilene Christian",2,"2025-26","4","Erin Woodson","G","5'10""","Jr.","Richmond","Virginia","Saint Gertrude HS","Purdue Fort Wayne","https://acusports.com/sports/womens-basketball/roster/erin-woodson/10945","TX","WAC","I",5,10,70,"GUARD",,"GUARD","Junior",0,"Saint Gertrude HS","RICHMOND, VA","VA","USA","Purdue Fort Wayne"
"Abilene Christian",2,"2025-26","41","Aimee Flippen","C","6'4""","So.","Glen Rose","Texas","Glen Rose HS",,"https://acusports.com/sports/womens-basketball/roster/aimee-flippen/10941","TX","WAC","I",6,4,76,"CENTER",,"CENTER","Sophomore",0,"Glen Rose HS","GLEN ROSE, TEXAS","TX","USA",
"Abilene Christian",2,"2025-26","5","Breanna Davis","G","5'6""","Sr.","Waxahachie","Texas","Red Oak HS","North Texas","https://acusports.com/sports/womens-basketball/roster/breanna-davis/10940","TX","WAC","I",5,6,66,"GUARD",,"GUARD","Senior",0,"Red Oak HS","WAXAHACHIE, TEXAS","TX","USA","North Texas"
"Adelphi",3,"2025-26","1","Kirina Azemar","G","5'5""","Jr.","Westbury","NY.","Westbury","Nassau Community College","https://aupanthers.com/sports/womens-basketball/roster/kirina-azemar/11367","NY","NE10","II",5,5,65,"GUARD",,"GUARD","Junior",0,"Westbury","WESTBURY, NY","NY","USA","Nassau Community College"
"Adelphi",3,"2025-26","10","Sofia Kammas","G","5'10""","Fr.","Bayside","NY.","St. Mary's",,"https://aupanthers.com/sports/womens-basketball/roster/sofia-kammas/11365","NY","NE10","II",5,10,70,"GUARD",,"GUARD","Freshman",0,"St. Mary's","BAYSIDE, NY","NY","USA",
"Adelphi",3,"2025-26","11","Lauren Beberman","G/F","5'11""","Jr.","Mahopac","NY.","Mahopac",,"https://aupanthers.com/sports/womens-basketball/roster/lauren-beberman/11355","NY","NE10","II",5,11,71,"GUARD","FORWARD","GUARD/FORWARD","Junior",0,"Mahopac","MAHOPAC, NY","NY","USA",
